scenario_id,active_pcs,traffic_type,traffic_intensity,avg_delay,packet_loss,throughput,label,distance_m,velocity_mps,doppler_shift_hz,path_loss_db,fading_depth_db,interference_dbm,freq_variation_hz,fading_rate,rssi_dbm,snr_db,ber,channel_variation,handovers,modulation,access_technology
S140,9,HTTP (bursty),High,2.761,0.18,Low,Abnormal,269.3,0.47,2.77,88.65,7.28,-73.46,5.42,0.285,-92.13,5.75,1.17e-02,0.171,4,BPSK,CDMA
S141,2,HTTP (bursty),Low,0.17,0.01,High,Normal,116.6,1.2,13.63,81.38,1.23,-89.59,15.37,0.155,-74.03,24.06,1.00e-08,0.129,2,QPSK,TDMA
S142,14,Ping (intermittent),High,4.047,0.44,Low,Abnormal,228.9,0.86,-0.44,87.24,13.79,-61.22,3.72,0.441,-90.7,9.65,4.92e-05,0.232,7,BPSK,OFDMA
S143,1,HTTP,Low,0.17,0.01,High,Normal,92.5,2.37,15.96,79.37,1.55,-93.97,12.94,0.18,-66.77,33.26,1.00e-08,0.126,1,16-QAM,TDMA
S144,6,Mixed (light Ping + HTTP),Medium,1.313,0.09,Medium,Abnormal,176.6,0.08,1.14,84.99,4.16,-80.9,7.19,0.155,-88.91,10.02,2.17e-05,0.161,5,BPSK,FDMA
S145,5,Ping,Medium,0.36,0.02,Medium,Normal,157.3,1.0,-9.82,83.98,3.8,-81.77,11.89,0.166,-74.64,24.77,1.00e-08,0.131,1,QPSK,FDMA
S146,14,HTTP (bursty),High,3.05,0.43,Very Low,Abnormal,371.9,1.26,-16.81,91.45,14.6,-59.14,18.28,0.377,-92.65,4.31,3.37e-02,0.225,6,BPSK,OFDMA
S147,7,HTTP (Continuous),Medium,1.435,0.06,Medium,Abnormal,168.2,0.16,-3.22,84.56,6.44,-79.75,9.82,0.221,-83.1,17.16,1.00e-08,0.087,5,QPSK,CDMA
S148,9,Ping,High,2.755,0.18,Medium,Abnormal,177.8,1.08,10.0,85.04,6.06,-71.07,12.72,0.227,-85.73,12.9,1.00e-08,0.156,5,BPSK,CDMA
S149,5,Ping,Medium,0.51,0.01,Medium,Normal,110.4,2.17,16.2,80.91,2.93,-82.48,13.99,0.181,-66.22,35.0,1.00e-08,0.112,0,16-QAM,FDMA
S150,9,Mixed (light Ping + HTTP),High,2.117,0.27,Low,Abnormal,224.5,0.54,2.46,87.07,8.2,-74.45,3.84,0.331,-83.71,14.83,1.00e-08,0.213,5,BPSK,CDMA
S151,5,Ping,Low,0.38,0.01,Medium,Normal,144.1,1.05,-11.6,83.22,2.4,-80.57,14.03,0.197,-72.8,27.32,1.00e-08,0.12,1,16-QAM,FDMA
S152,13,ICMP,High,2.88,0.29,Low,Abnormal,295.7,0.89,-10.98,89.46,8.04,-62.89,11.22,0.366,-90.36,11.47,4.00e-07,0.182,5,BPSK,OFDMA
S153,6,Mixed (light Ping + HTTP),Medium,0.971,0.09,Medium,Abnormal,119.7,1.28,-0.16,81.61,2.81,-84.27,4.23,0.16,-73.52,24.81,1.00e-08,0.131,4,QPSK,FDMA
S154,14,Mixed (Ping+HTTP),Very High,3.09,0.25,Very Low,Abnormal,439.1,0.59,-2.0,92.9,8.22,-62.63,2.72,0.284,-92.09,9.79,3.64e-05,0.156,7,BPSK,OFDMA
S155,6,Ping (intermittent),Medium,1.045,0.12,Medium,Abnormal,103.8,0.61,-2.83,80.37,2.25,-81.27,9.93,0.21,-80.93,20.28,1.00e-08,0.153,3,QPSK,FDMA
S156,12,Ping,Very High,2.559,0.27,Low,Abnormal,291.1,0.52,1.91,89.33,7.56,-65.57,7.43,0.284,-88.33,11.68,2.00e-07,0.212,7,BPSK,OFDMA
S157,3,ICMP,Medium,0.37,0.0,High,Normal,82.6,2.56,13.23,78.39,2.66,-84.53,11.05,0.181,-65.99,31.78,1.00e-08,0.121,0,16-QAM,TDMA
S158,8,ICMP + HTTP (alternating),Medium,1.051,0.08,Medium,Abnormal,128.9,0.1,2.25,82.25,2.59,-74.01,8.68,0.172,-75.66,24.78,1.00e-08,0.142,3,QPSK,CDMA
S159,11,Mixed (light Ping + HTTP),High,2.096,0.24,Medium,Abnormal,116.8,1.49,12.24,81.39,7.34,-70.54,15.3,0.268,-82.71,19.1,1.00e-08,0.179,5,QPSK,OFDMA
S160,13,Mixed (Ping+HTTP),Very High,2.707,0.36,Low,Abnormal,190.4,1.42,-10.89,85.64,12.19,-63.98,11.61,0.366,-78.83,20.55,1.00e-08,0.257,6,QPSK,OFDMA
S161,9,Mixed (Ping+HTTP),High,2.348,0.21,Medium,Abnormal,183.6,0.61,4.37,85.32,8.39,-72.42,10.06,0.24,-81.31,20.14,1.00e-08,0.167,4,QPSK,CDMA
S162,1,ICMP,Low,0.07,0.01,High,Normal,71.1,1.14,5.73,77.08,3.21,-91.46,7.61,0.16,-61.39,38.18,1.00e-08,0.084,0,16-QAM,TDMA
S163,6,Ping,Medium,0.866,0.09,Medium,Abnormal,204.8,0.28,-2.26,86.27,2.99,-84.0,4.91,0.25,-80.3,23.24,1.00e-08,0.095,5,QPSK,FDMA
S164,2,HTTP (bursty),Low,0.17,0.01,High,Normal,113.2,2.24,-13.66,81.12,1.66,-89.11,12.81,0.134,-73.17,27.29,1.00e-08,0.079,2,16-QAM,TDMA
S165,1,HTTP,Low,0.09,0.01,High,Normal,81.0,1.74,16.61,78.22,2.12,-90.13,15.22,0.147,-69.46,29.56,1.00e-08,0.066,2,16-QAM,TDMA
S166,6,Ping (intermittent),Medium,1.522,0.13,Medium,Abnormal,166.4,0.88,-5.3,84.47,5.06,-78.73,6.32,0.235,-86.18,15.72,1.00e-08,0.129,5,QPSK,FDMA
S167,11,Ping (intermittent),High,1.758,0.25,Low,Abnormal,344.3,0.96,2.85,90.78,9.8,-65.95,6.41,0.342,-89.53,10.14,1.64e-05,0.153,3,BPSK,OFDMA
S168,3,Mixed (Ping+HTTP),Medium,0.47,0.0,High,Normal,115.6,2.17,-13.63,81.31,0.36,-85.49,12.16,0.171,-65.69,34.41,1.00e-08,0.08,3,16-QAM,TDMA
S169,10,HTTP,High,1.957,0.27,Low,Abnormal,292.1,0.02,-0.48,89.36,8.85,-70.43,3.34,0.312,-96.28,0.5,1.63e-01,0.172,3,BPSK,CDMA
S170,8,Ping,Medium,1.002,0.06,Medium,Abnormal,162.9,0.36,1.95,84.28,3.49,-73.13,7.93,0.144,-76.43,23.15,1.00e-08,0.13,5,QPSK,CDMA
S171,4,Mixed (Ping+HTTP),Medium,0.53,0.0,Medium,Normal,182.1,2.62,-6.55,85.25,0.69,-83.37,9.45,0.106,-74.53,26.39,1.00e-08,0.09,3,16-QAM,FDMA
S172,13,Ping (intermittent),Very High,4.053,0.45,Low,Abnormal,289.6,0.5,-3.88,89.28,15.34,-63.19,10.15,0.393,-87.56,11.1,1.27e-06,0.252,4,BPSK,OFDMA
S173,5,HTTP (bursty),Medium,0.25,0.01,Medium,Normal,182.1,1.2,-2.32,85.25,1.72,-82.29,4.07,0.12,-76.59,24.61,1.00e-08,0.128,2,QPSK,FDMA
S174,10,Ping (intermittent),High,1.773,0.27,Low,Abnormal,207.6,0.36,-7.52,86.39,7.12,-67.27,8.59,0.338,-81.95,21.5,1.00e-08,0.198,5,QPSK,CDMA
S175,10,HTTP (Continuous),High,2.028,0.17,Medium,Abnormal,106.4,0.66,-7.38,80.58,7.69,-68.07,11.58,0.205,-74.29,27.45,1.00e-08,0.146,6,16-QAM,CDMA
S176,7,Ping Storm,Medium,0.908,0.13,Medium,Abnormal,151.8,1.02,-4.11,83.67,6.44,-76.08,9.46,0.249,-81.28,19.15,1.00e-08,0.153,5,QPSK,CDMA
S177,2,Ping,Low,0.11,0.01,High,Normal,65.3,0.77,5.14,76.34,3.13,-90.13,5.91,0.151,-58.98,39.57,1.00e-08,0.056,2,16-QAM,TDMA
S178,12,HTTP,High,2.95,0.27,Low,Abnormal,274.2,0.9,-6.65,88.81,8.85,-65.24,8.55,0.34,-94.92,3.18,6.25e-02,0.177,5,BPSK,OFDMA
S179,5,ICMP,Medium,0.42,0.02,Medium,Normal,182.2,0.92,4.69,85.26,3.06,-81.7,6.38,0.19,-74.07,23.61,1.00e-08,0.116,3,QPSK,FDMA
S180,11,Mixed (light Ping + HTTP),High,2.311,0.21,Low,Abnormal,280.9,0.29,7.71,89.02,6.43,-62.91,8.72,0.288,-87.86,10.88,2.40e-06,0.199,4,BPSK,OFDMA
S181,11,ICMP,High,2.118,0.17,Low,Abnormal,231.1,0.9,-6.01,87.32,6.33,-68.91,10.35,0.265,-89.92,10.35,9.81e-06,0.14,6,BPSK,OFDMA
S182,2,HTTP (bursty),Low,0.17,0.0,High,Normal,69.2,2.83,15.71,76.85,2.63,-90.02,17.37,0.103,-62.47,33.98,1.00e-08,0.067,2,16-QAM,TDMA
S183,9,Ping Storm,High,1.758,0.26,Low,Abnormal,321.3,0.1,0.54,90.18,7.06,-71.41,3.15,0.271,-89.64,9.19,1.24e-04,0.202,6,BPSK,CDMA
S184,11,Ping Storm,High,2.075,0.15,Low,Abnormal,270.8,1.39,-7.91,88.7,5.51,-67.23,13.32,0.26,-91.88,6.26,7.30e-03,0.119,4,BPSK,OFDMA
S185,15,Ping,Very High,2.538,0.33,Low,Abnormal,291.8,0.53,6.38,89.35,11.04,-58.39,10.73,0.395,-92.92,8.24,6.35e-04,0.223,5,BPSK,OFDMA
S186,10,Ping (intermittent),High,1.694,0.27,Medium,Abnormal,153.5,0.59,-3.41,83.77,7.75,-71.24,5.8,0.264,-82.75,18.2,1.00e-08,0.167,4,QPSK,CDMA
S187,2,Ping,Low,0.03,0.0,High,Normal,67.9,1.36,-11.23,76.68,1.88,-87.38,12.03,0.107,-58.4,43.87,1.00e-08,0.052,2,16-QAM,TDMA
S188,9,Mixed (Ping+HTTP),High,1.819,0.15,Low,Abnormal,290.2,1.02,8.41,89.3,6.49,-72.65,8.11,0.206,-95.37,3.24,6.07e-02,0.142,4,BPSK,CDMA
S189,7,ICMP + HTTP (alternating),Medium,1.146,0.07,Medium,Abnormal,122.4,0.99,2.06,81.8,1.68,-79.51,2.47,0.163,-74.63,24.6,1.00e-08,0.124,3,QPSK,CDMA
S190,14,ICMP,Very High,3.78,0.31,Low,Abnormal,242.2,0.3,-2.88,87.73,9.2,-62.04,9.78,0.317,-86.81,14.15,1.00e-08,0.202,7,BPSK,OFDMA
S191,13,HTTP,High,2.502,0.28,Low,Abnormal,285.0,1.22,-7.1,89.14,10.32,-61.58,6.8,0.299,-86.8,12.58,1.00e-08,0.195,5,BPSK,OFDMA
S192,7,Ping Storm,Medium,1.161,0.07,Medium,Abnormal,169.0,0.63,-3.15,84.6,1.57,-78.54,9.72,0.159,-78.47,22.6,1.00e-08,0.145,2,QPSK,CDMA
S193,2,ICMP,Low,0.12,0.0,High,Normal,109.2,2.88,2.11,80.81,2.93,-92.7,5.34,0.149,-70.03,29.57,1.00e-08,0.063,0,16-QAM,TDMA
S194,2,ICMP,Low,0.16,0.0,High,Normal,103.7,1.05,5.21,80.36,2.13,-88.37,10.11,0.157,-67.1,31.16,1.00e-08,0.091,0,16-QAM,TDMA
S195,4,Mixed (Ping+HTTP),Medium,0.21,0.0,Medium,Normal,132.1,1.86,-19.74,82.46,1.56,-84.86,16.35,0.143,-74.51,25.3,1.00e-08,0.07,0,16-QAM,FDMA
S196,4,HTTP,Medium,0.53,0.01,Medium,Normal,154.0,1.37,-13.54,83.8,-0.72,-82.61,15.91,0.13,-72.12,26.03,1.00e-08,0.082,3,16-QAM,FDMA
S197,7,HTTP (bursty),Medium,0.71,0.14,Medium,Abnormal,119.9,0.21,1.62,81.62,5.84,-78.46,5.91,0.216,-77.18,22.53,1.00e-08,0.175,2,QPSK,CDMA
S198,12,HTTP (bursty),Very High,4.15,0.33,Low,Abnormal,203.1,1.13,4.77,86.2,11.0,-64.41,8.93,0.368,-82.58,18.04,1.00e-08,0.202,7,QPSK,OFDMA
S199,3,Ping,Low,0.35,0.01,High,Normal,79.2,1.94,7.49,78.02,2.81,-90.25,6.89,0.158,-68.1,31.28,1.00e-08,0.084,3,16-QAM,TDMA
S200,2,HTTP (bursty),Low,0.16,0.01,High,Normal,66.2,0.51,3.84,76.46,2.07,-93.22,6.9,0.172,-61.46,38.96,1.00e-08,0.097,1,16-QAM,TDMA
S201,1,Ping (intermittent),Low,0.497,0.07,Low,Drone,340.2,10.3,79.43,90.68,9.25,-90.27,62.59,0.586,-86.9,12.75,0.00e+00,0.607,8,BPSK,TDMA
S202,2,ICMP,Low,0.401,0.06,Medium,Drone,264.1,9.79,-20.28,88.48,7.53,-90.94,16.9,0.607,-78.11,22.4,0.00e+00,0.567,8,QPSK,TDMA
S203,0,Mixed (Ping+HTTP),Low,0.543,0.09,Low,Drone,406.5,14.06,-113.49,92.23,8.82,-90.12,86.21,0.727,-83.86,18.21,0.00e+00,0.54,6,QPSK,TDMA
S204,1,HTTP (bursty),Low,0.67,0.06,Medium,Drone,274.3,17.37,-57.52,88.81,6.91,-91.32,43.35,0.623,-75.83,21.79,0.00e+00,0.588,9,QPSK,TDMA
S205,2,Ping (intermittent),Low,0.51,0.08,Low,Drone,396.9,11.54,-51.68,92.02,7.63,-90.69,43.04,0.623,-90.92,9.77,3.80e-05,0.549,7,BPSK,TDMA
S206,0,Mixed (Ping+HTTP),Low,0.807,0.09,Low,Drone,289.8,11.19,1.2,89.29,7.86,-88.05,5.73,0.672,-83.67,16.33,0.00e+00,0.619,8,QPSK,TDMA
S207,1,Ping,Low,0.507,0.09,Low,Drone,399.5,11.99,24.67,92.08,8.48,-87.17,22.46,0.63,-90.33,8.85,2.32e-04,0.601,8,BPSK,TDMA
S208,2,Ping (intermittent),Low,0.691,0.05,Medium,Drone,292.5,16.09,-62.96,89.37,7.28,-84.8,46.71,0.629,-81.11,18.63,0.00e+00,0.57,8,QPSK,TDMA
S209,2,HTTP (bursty),Low,0.353,0.09,Low,Drone,277.1,12.31,65.64,88.9,7.44,-90.18,54.85,0.661,-79.42,20.36,0.00e+00,0.57,7,QPSK,TDMA
S210,0,Ping (intermittent),Low,0.66,0.08,Low,Drone,363.1,17.65,114.04,91.25,9.01,-89.48,87.09,0.684,-85.2,13.99,0.00e+00,0.618,8,BPSK,TDMA
S211,0,Mixed (Ping+HTTP),Low,0.344,0.07,Low,Drone,278.5,8.01,33.59,88.94,5.8,-91.53,27.16,0.685,-85.79,14.09,0.00e+00,0.581,8,BPSK,TDMA
S212,2,Ping (intermittent),Low,0.292,0.04,Medium,Drone,413.4,11.08,-25.54,92.37,6.75,-87.04,24.34,0.721,-90.75,8.59,3.63e-04,0.592,9,BPSK,TDMA
S213,0,Ping (intermittent),Low,0.431,0.05,Medium,Drone,316.1,16.78,-124.78,90.04,6.3,-94.93,92.22,0.587,-86.34,10.84,2.69e-06,0.59,7,BPSK,TDMA
S214,2,Ping,Low,0.789,0.09,Low,Drone,262.7,12.76,89.28,88.44,8.11,-85.78,64.62,0.609,-84.44,15.61,0.00e+00,0.609,8,QPSK,TDMA
S215,2,Mixed (Ping+HTTP),Low,0.462,0.05,Medium,Drone,336.9,9.36,-73.28,90.6,8.28,-89.56,60.0,0.56,-86.36,13.81,0.00e+00,0.539,9,BPSK,TDMA
S216,1,ICMP,Low,0.437,0.06,Medium,Drone,345.0,13.6,86.23,90.8,7.35,-92.78,68.88,0.565,-87.98,9.85,3.19e-05,0.607,7,BPSK,TDMA
S217,0,Mixed (Ping+HTTP),Low,0.299,0.07,Low,Drone,353.4,11.79,42.22,91.01,6.93,-90.84,37.74,0.711,-86.58,14.01,0.00e+00,0.559,6,BPSK,TDMA
S218,1,Mixed (Ping+HTTP),Low,0.646,0.07,Low,Drone,405.9,17.3,100.51,92.21,8.7,-93.37,80.28,0.652,-88.77,9.2,1.22e-04,0.617,7,BPSK,TDMA
S219,1,HTTP (bursty),Low,0.493,0.05,Medium,Drone,410.4,8.46,21.06,92.31,8.84,-87.33,19.11,0.572,-92.23,7.25,2.47e-03,0.555,8,BPSK,TDMA
S220,2,Mixed (Ping+HTTP),Low,0.466,0.09,Low,Drone,353.7,8.35,-55.19,91.02,5.8,-88.91,40.78,0.705,-86.98,14.49,0.00e+00,0.587,7,BPSK,TDMA
S221,3,Ping (intermittent),Medium,0.725,0.05,Medium,Drone,180.6,15.38,85.27,85.18,10.45,-78.92,63.87,0.793,-78.02,21.61,0.00e+00,0.708,9,QPSK,TDMA
S222,2,Mixed (Ping+HTTP),Low,0.519,0.12,Low,Drone,318.8,12.5,31.11,90.12,10.15,-84.6,26.88,0.715,-88.76,11.52,3.40e-07,0.685,9,BPSK,TDMA
S223,3,Mixed (Ping+HTTP),Medium,0.858,0.06,Medium,Drone,198.8,23.97,40.25,86.01,13.57,-82.61,38.74,0.688,-79.75,18.95,0.00e+00,0.674,12,QPSK,TDMA
S224,1,Mixed (Ping+HTTP),Low,0.592,0.07,Medium,Drone,258.6,21.87,51.58,88.3,11.07,-85.73,44.19,0.724,-78.03,23.18,0.00e+00,0.722,11,QPSK,TDMA
S225,2,Mixed (Ping+HTTP),Low,0.552,0.05,Medium,Drone,260.8,16.1,88.43,88.37,10.47,-85.9,65.93,0.702,-76.99,23.81,0.00e+00,0.646,11,QPSK,TDMA
S226,1,Ping (intermittent),Low,0.684,0.06,Medium,Drone,182.5,13.1,-92.33,85.27,13.94,-89.01,69.84,0.673,-75.54,24.62,0.00e+00,0.645,10,QPSK,TDMA
S227,2,Ping,Low,1.008,0.05,Medium,Drone,316.2,12.01,84.34,90.05,11.9,-86.44,69.92,0.765,-82.25,18.72,0.00e+00,0.691,8,QPSK,TDMA
S228,3,Ping,Medium,0.595,0.12,Low,Drone,194.3,15.08,60.92,85.82,12.49,-84.45,47.83,0.716,-77.66,22.43,0.00e+00,0.722,8,QPSK,TDMA
S229,1,Mixed (Ping+HTTP),Low,0.99,0.07,Medium,Drone,310.1,22.7,-174.28,89.88,9.49,-90.39,130.44,0.73,-75.17,25.32,0.00e+00,0.657,9,16-QAM,TDMA
S230,3,Mixed (Ping+HTTP),Medium,1.14,0.08,Low,Drone,191.9,18.86,-152.24,85.71,12.92,-82.18,115.28,0.779,-74.75,28.16,0.00e+00,0.698,12,16-QAM,TDMA
S231,1,Mixed (Ping+HTTP),Low,0.497,0.07,Medium,Drone,296.2,14.85,-39.87,89.48,14.21,-86.58,32.12,0.766,-84.87,14.92,0.00e+00,0.67,10,BPSK,TDMA
S232,2,Mixed (Ping+HTTP),Low,0.709,0.06,Medium,Drone,215.0,15.77,-8.01,86.69,11.88,-85.1,11.07,0.669,-78.73,18.45,0.00e+00,0.649,11,QPSK,TDMA
S233,2,Ping (intermittent),Low,0.878,0.07,Medium,Drone,250.0,25.96,-157.14,88.0,12.53,-86.47,114.34,0.699,-83.46,17.76,0.00e+00,0.689,12,QPSK,TDMA
S234,1,Mixed (Ping+HTTP),Low,0.581,0.08,Low,Drone,281.5,14.02,115.58,89.04,10.8,-90.12,84.65,0.713,-84.05,16.27,0.00e+00,0.632,8,QPSK,TDMA
S235,2,Ping,Low,0.553,0.06,Medium,Drone,206.6,15.61,72.8,86.35,9.0,-86.32,62.65,0.683,-79.85,18.68,0.00e+00,0.668,10,QPSK,TDMA
S236,3,Mixed (Ping+HTTP),Medium,0.893,0.07,Medium,Drone,277.4,13.83,-63.22,88.91,8.88,-83.48,49.34,0.681,-81.44,16.82,0.00e+00,0.67,11,QPSK,TDMA
S237,3,Ping,Medium,0.678,0.06,Medium,Drone,263.1,19.25,-124.5,88.45,11.26,-81.27,90.76,0.698,-79.12,20.3,0.00e+00,0.66,12,QPSK,TDMA
S238,3,Ping,Medium,1.164,0.1,Low,Drone,273.5,22.17,103.28,88.79,10.45,-81.39,76.71,0.676,-79.84,20.98,0.00e+00,0.727,12,QPSK,TDMA
S239,2,Ping,Low,0.874,0.11,Low,Drone,198.8,17.28,132.76,86.01,13.49,-85.07,95.97,0.709,-76.13,22.19,0.00e+00,0.704,10,QPSK,TDMA
S240,2,Ping (intermittent),Low,1.116,0.06,Medium,Drone,220.2,24.42,-174.56,86.9,10.21,-88.34,132.91,0.654,-81.38,18.56,0.00e+00,0.649,12,QPSK,TDMA
S241,0,ICMP,Low,0.433,0.06,Medium,Drone,288.6,17.62,135.77,89.25,9.42,-93.73,103.2,0.624,-83.0,16.58,0.00e+00,0.589,7,QPSK,TDMA
S242,0,ICMP,Low,0.715,0.05,Medium,Drone,339.6,15.93,-127.44,90.67,9.08,-93.13,91.31,0.619,-85.68,14.06,0.00e+00,0.56,10,BPSK,TDMA
S243,0,ICMP,Low,0.763,0.04,Medium,Drone,233.2,17.38,-43.52,87.4,11.28,-90.2,38.12,0.662,-75.69,24.47,0.00e+00,0.619,7,QPSK,TDMA
S244,0,Mixed (Ping+HTTP),Low,0.387,0.04,Medium,Drone,266.9,9.24,23.75,88.57,9.66,-96.39,20.61,0.643,-78.41,20.13,0.00e+00,0.539,9,QPSK,TDMA
S245,0,Ping,Low,0.885,0.08,Low,Drone,245.7,8.42,16.96,87.85,8.66,-91.93,16.76,0.758,-83.22,18.01,0.00e+00,0.552,8,QPSK,TDMA
S246,0,Ping,Low,0.807,0.06,Medium,Drone,328.2,20.37,-151.62,90.37,11.33,-92.73,109.69,0.626,-87.49,13.45,0.00e+00,0.632,9,BPSK,TDMA
S247,0,Ping,Low,0.354,0.08,Low,Drone,313.7,12.9,-72.27,89.98,9.65,-93.52,56.91,0.671,-82.96,15.16,0.00e+00,0.632,10,QPSK,TDMA
S248,0,Ping,Low,0.675,0.1,Low,Drone,276.2,11.75,46.46,88.87,7.83,-87.96,39.45,0.596,-77.49,22.1,0.00e+00,0.639,10,QPSK,TDMA
S249,0,Mixed (Ping+HTTP),Low,0.982,0.09,Low,Drone,210.2,21.31,128.77,86.5,9.76,-94.33,97.24,0.627,-80.48,19.43,0.00e+00,0.574,10,QPSK,TDMA
S250,0,Mixed (Ping+HTTP),Low,0.917,0.07,Medium,Drone,312.1,9.71,-76.79,89.93,10.71,-90.97,60.59,0.604,-87.58,12.59,1.00e-08,0.566,10,BPSK,TDMA
S251,0,Ping,Low,0.737,0.08,Low,Drone,362.4,15.45,-102.72,91.23,9.89,-93.98,77.33,0.649,-86.19,14.81,0.00e+00,0.558,8,BPSK,TDMA
S252,0,Ping,Low,0.921,0.05,Medium,Drone,297.4,20.46,34.2,89.51,9.59,-97.02,26.73,0.686,-80.81,22.65,0.00e+00,0.617,9,QPSK,TDMA
S253,0,Ping,Low,0.575,0.11,Low,Drone,308.6,21.29,-124.64,89.83,9.76,-92.35,89.29,0.663,-80.69,16.52,0.00e+00,0.599,9,QPSK,TDMA
S254,0,Ping,Low,0.54,0.09,Low,Drone,207.4,6.78,-12.94,86.38,11.63,-95.99,16.65,0.652,-76.63,20.9,0.00e+00,0.64,9,QPSK,TDMA
S255,0,Mixed (Ping+HTTP),Low,0.81,0.07,Medium,Drone,284.5,16.12,-104.68,89.13,9.72,-93.09,77.6,0.757,-78.85,22.7,0.00e+00,0.641,9,QPSK,TDMA
S256,0,Mixed (Ping+HTTP),Low,0.943,0.09,Low,Drone,306.1,7.97,27.9,89.76,7.76,-97.5,27.95,0.741,-81.89,17.64,0.00e+00,0.573,8,QPSK,TDMA
S257,0,Ping,Low,0.551,0.1,Low,Drone,322.6,14.15,103.66,90.22,9.8,-91.48,76.81,0.62,-82.93,17.15,0.00e+00,0.615,10,QPSK,TDMA
S258,0,ICMP,Low,0.897,0.04,Medium,Drone,248.3,10.8,77.08,87.95,9.41,-94.25,62.1,0.684,-80.41,19.36,0.00e+00,0.542,7,QPSK,TDMA
S259,0,ICMP,Low,0.992,0.07,Medium,Drone,256.7,6.02,28.39,88.23,10.42,-92.9,24.89,0.6,-79.11,18.67,0.00e+00,0.566,8,QPSK,TDMA
S260,0,ICMP,Low,0.668,0.07,Medium,Drone,357.4,21.94,-156.46,91.11,9.88,-88.42,117.23,0.662,-91.59,9.91,2.79e-05,0.568,8,BPSK,TDMA
